CC(C)Nc1ncnc2oc(c3ccc(OCCN4CCCC4)cc3)c(c5ccccc5)c12,C(CN1CCNCC1)Nc2ncnc3oc(c4ccc(OCCN5CCCC5)cc4)c(c6ccccc6)c23,CHEMBL247866,CHEMBL247468,[*:1]C(C)C>>[*:1]CCN1CCNCC1,[*:1]Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c21
CC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL569966,CHEMBL570217,[*:1]C([*:2])CC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CC(C)[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,CHEMBL584944,CHEMBL570217,[*:1]C([*:2])CCC>>[*:1]C([*:2])C(C)C,[*:1]Nc1cc(-c2c(N)nn3cccnc23)ncn1.[*:2]c1ccc(F)cc1
COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)c(C)c4)c3n2,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2,CHEMBL1093454,CHEMBL1088856,[*:1]CN1CCOCC1>>[*:1]C(=O)N1CCOCC1,[*:1]c1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc32)cc1C
C[C@@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL571526,CHEMBL570230,[*:1]OC([*:2])[*:3]>>[*:1]NC([*:2])[*:3],[*:3]C.[*:2]c1ccc(F)cn1.[*:1]c1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N
C[C@@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CC(Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL571526,CHEMBL568789,[*:1]OC([*:2])[*:3]>>[*:1]NC([*:2])[*:3],[*:3]C.[*:2]c1ccc(F)cn1.[*:1]c1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N
C[C@@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL571526,CHEMBL578201,[*:1]OC([*:2])[*:3]>>[*:1]NC([*:2])[*:3],[*:3]C.[*:2]c1ccc(F)cn1.[*:1]c1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL570230,[*:1]OC([*:2])[*:3]>>[*:1]NC([*:2])[*:3],[*:3]C.[*:2]c1ccc(F)cn1.[*:1]c1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CC(Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL568789,[*:1]OC([*:2])[*:3]>>[*:1]NC([*:2])[*:3],[*:3]C.[*:2]c1ccc(F)cn1.[*:1]c1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N
C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL570192,CHEMBL578201,[*:1]OC([*:2])[*:3]>>[*:1]NC([*:2])[*:3],[*:3]C.[*:2]c1ccc(F)cn1.[*:1]c1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N
COc1nc(NCCCN2CCN(C)CC2)ncc1C(=O)Nc3cc(ccc3C)C(=O)Nc4cccc(c4C)C(F)(F)F,COc1nc(NCCCCN(C)C)ncc1C(=O)Nc2cc(ccc2C)C(=O)Nc3cccc(c3C)C(F)(F)F,CHEMBL255989,CHEMBL255132,[*:1]N1CCN(C)CC1>>[*:1]CN(C)C,[*:1]CCCNc1ncc(C(=O)Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3C)ccc2C)c(OC)n1
